"random","greedy_5","greedy_10"
104,110,110
101,110,110
96,110,110
95,110,110
99,110,110
97,110,110
100,110,110
100,110,109
99,110,110
95,110,110
95,110,110
90,110,110
107,110,110
106,110,110
94,110,110
102,110,110
103,110,110
101,110,110
100,110,110
97,110,110
101,110,110
95,110,110
106,110,110
105,110,110
103,110,110
101,110,110
96,110,110
100,110,110
96,110,110
106,110,110
98,110,110
100,110,110
107,110,110
104,110,109
101,110,110
101,110,110
102,110,110
98,110,110
97,110,110
96,110,110
102,110,110
102,110,110
90,110,110
103,110,110
97,110,110
99,110,110
102,110,110
95,110,110
98,110,110
96,110,110
104,110,110
94,110,110
101,110,110
101,110,110
100,110,110
102,110,110
99,110,110
90,110,109
104,110,110
97,110,110
103,110,109
98,110,110
91,110,110
103,110,110
92,110,110
103,110,110
100,110,110
97,110,110
103,110,110
102,110,110
87,110,110
98,110,110
95,110,110
97,110,110
104,110,110
102,110,110
101,110,110
91,110,110
102,110,110
103,110,110
100,110,110
95,110,110
104,110,109
102,110,110
96,110,110
97,110,110
103,110,110
105,110,110
94,110,109
101,110,110
96,110,110
96,110,110
96,110,110
91,110,110
102,110,110
98,110,110
102,110,110
94,110,110
100,110,110
102,110,110
97,110,110
103,109,110
103,110,109
100,110,110
99,110,110
103,110,110
99,110,110
95,110,110
96,110,110
98,110,110
103,110,110
101,110,110
94,110,110
104,110,110
96,109,110
104,110,110
91,110,110
99,110,109
100,110,110
89,109,110
103,110,110
99,110,110
104,110,110
100,110,110
106,110,109
104,110,110
100,110,110
99,110,110
101,110,110
102,110,110
97,110,110
94,110,110
96,110,110
99,110,110
91,110,110
104,110,110
94,109,110
91,110,110
96,110,110
100,110,110
95,110,110
99,110,110
91,110,110
87,110,110
100,110,110
100,110,110
101,110,110
90,110,110
103,110,110
103,110,110
97,110,110
99,109,110
84,110,110
95,110,110
102,110,110
96,110,110
94,110,110
102,110,110
103,110,110
98,110,110
98,110,110
103,110,109
100,110,110
103,110,110
94,110,110
102,110,110
106,110,110
104,109,110
99,110,110
105,110,110
104,110,110
101,110,110
95,110,110
98,110,110
102,110,110
93,110,110
100,110,110
94,110,110
96,110,110
98,110,110
94,110,110
106,110,110
104,110,110
92,110,110
98,110,110
105,110,110
101,110,110
105,110,110
100,110,110
99,110,110
98,110,110
99,110,110
104,110,110
93,110,110
94,110,110
105,110,110
99,110,110
95,110,110
92,110,110
105,110,110
90,110,110
92,110,110
91,110,110
99,110,109
95,110,110
101,110,110
99,110,110
102,110,110
101,110,110
98,110,110
103,110,110
108,110,110
102,110,110
100,110,110
98,110,110
91,110,110
99,110,110
102,109,110
100,110,110
98,109,110
103,110,110
96,110,110
102,110,110
88,110,110
94,110,110
100,110,109
101,110,110
99,109,110
98,110,110
101,110,110
104,110,110
91,110,110
100,110,110
102,110,110
88,110,110
98,110,110
100,110,110
100,110,110
98,110,110
102,110,110
103,110,110
100,109,109
101,110,110
98,110,110
100,110,110
104,110,110
96,110,110
100,110,110
99,110,110
98,110,110
105,110,110
100,110,110
104,110,110
94,110,110
105,110,110
84,110,110
92,110,110
102,110,110
96,110,110
106,110,110
99,110,110
105,110,110
100,110,110
93,110,110
98,110,110
95,110,110
101,110,110
106,110,110
97,110,110
102,110,110
100,110,110
96,110,110
100,110,110
92,110,110
99,110,110
94,110,110
97,110,110
95,109,110
98,110,110
99,110,110
100,110,110
96,110,110
89,110,110
96,110,110
91,110,110
106,110,110
98,110,110
102,110,110
88,110,110
102,110,110
98,110,110
106,110,110
87,110,110
102,110,110
98,110,110
103,110,110
102,110,110
93,110,110
98,110,110
98,110,110
104,110,110
85,110,110
106,110,110
103,110,110
102,109,110
100,110,110
91,110,110
106,110,110
100,110,110
95,110,109
105,110,110
103,110,110
96,110,110
106,110,110
91,110,110
101,110,110
98,110,108
92,109,110
98,110,110
104,110,110
95,110,110
97,110,110
104,110,110
99,110,110
101,110,110
97,110,110
100,110,110
94,110,110
93,110,110
102,110,110
101,110,110
99,110,110
101,110,110
96,110,110
92,110,110
108,110,110
98,110,110
104,110,110
104,110,110
96,110,110
98,110,110
99,110,110
105,110,110
98,109,110
103,110,110
98,110,110
96,110,110
92,110,110
105,110,110
103,110,110
101,110,110
95,110,110
105,110,110
98,110,110
99,110,110
104,110,110
104,110,110
104,110,110
94,110,110
96,110,110
104,110,110
102,110,110
106,110,109
99,110,110
97,110,110
100,110,110
98,110,110
100,110,110
95,110,110
100,110,110
97,110,110
93,110,109
101,110,110
101,109,110
96,110,110
